ticker,weight,score,claim_count,structural_weight
PPL,0.0383067871245738,0.7933333333333333,6,0.0
DIS,0.03655929863629793,0.7571428571428572,7,0.0
MHFI,0.03573154093132514,0.74,5,0.0
AMS,0.03540963515716906,0.7333333333333334,6,0.0
AAPL,0.03517970246134328,0.7285714285714286,7,0.0
ORLY,0.03442092456511823,0.7128571428571429,7,0.0
SAP,0.03400129739523619,0.7041666666666666,6,0.0
AVGO,0.033800106286388645,0.7000000000000001,6,0.0
AMZN,0.033800106286388645,0.7,5,0.0
CCEP,0.033800106286388645,0.7,5,0.0
CSL,0.03355867695577158,0.695,10,0.0
SWKS,0.03355867695577158,0.695,6,0.0
PAYX,0.03338622743390225,0.6914285714285714,7,0.0
XLNX,0.03322067589290769,0.688,5,0.0
CPI,0.033179288007659055,0.6871428571428572,7,0.0
FFIV,0.03273781723167358,0.6780000000000002,10,0.0
BAYN,0.03259295963330333,0.6749999999999999,6,0.0
STJ,0.03251248318976432,0.6733333333333333,6,0.0
ASML,0.03241188763534054,0.67125,8,0.0
UTHR,0.032291172970032006,0.66875,8,0.0
KR,0.032230815637377744,0.6675,8,0.0
BA,0.03219057741560823,0.6666666666666666,6,0.0
SHP,0.03219057741560823,0.6666666666666666,6,0.0
ABBV,0.0320296245285302,0.6633333333333334,9,0.0
CCI,0.03195920764043356,0.6618750000000001,8,0.0
CVS,0.03186867164145215,0.6599999999999999,5,0.0
CHD,0.03180831430879788,0.65875,8,0.0
CL,0.03180831430879788,0.65875,8,0.0
IFC,0.03173071202395669,0.6571428571428573,7,0.0
META,0.031723814043081916,0.657,10,0.0
