ticker,weight,score,claim_count,structural_weight
PPL,0.011111111111111112,0.7933333333333333,6,0.0
DIS,0.011111111111111112,0.7571428571428572,7,0.0
MHFI,0.011111111111111112,0.74,5,0.0
AMS,0.011111111111111112,0.7333333333333334,6,0.0
AAPL,0.011111111111111112,0.7285714285714286,7,0.0
ORLY,0.011111111111111112,0.7128571428571429,7,0.0
SAP,0.011111111111111112,0.7041666666666666,6,0.0
AVGO,0.011111111111111112,0.7000000000000001,6,0.0
AMZN,0.011111111111111112,0.7,5,0.0
CCEP,0.011111111111111112,0.7,5,0.0
CSL,0.011111111111111112,0.695,10,0.0
SWKS,0.011111111111111112,0.695,6,0.0
PAYX,0.011111111111111112,0.6914285714285714,7,0.0
XLNX,0.011111111111111112,0.688,5,0.0
CPI,0.011111111111111112,0.6871428571428572,7,0.0
FFIV,0.011111111111111112,0.6780000000000002,10,0.0
BAYN,0.011111111111111112,0.6749999999999999,6,0.0
STJ,0.011111111111111112,0.6733333333333333,6,0.0
ASML,0.011111111111111112,0.67125,8,0.0
UTHR,0.011111111111111112,0.66875,8,0.0
KR,0.011111111111111112,0.6675,8,0.0
BA,0.011111111111111112,0.6666666666666666,6,0.0
SHP,0.011111111111111112,0.6666666666666666,6,0.0
ABBV,0.011111111111111112,0.6633333333333334,9,0.0
CCI,0.011111111111111112,0.6618750000000001,8,0.0
CVS,0.011111111111111112,0.6599999999999999,5,0.0
CHD,0.011111111111111112,0.65875,8,0.0
CL,0.011111111111111112,0.65875,8,0.0
IFC,0.011111111111111112,0.6571428571428573,7,0.0
META,0.011111111111111112,0.657,10,0.0
COL,0.011111111111111112,0.6566666666666666,6,0.0
ROG,0.011111111111111112,0.6539999999999999,15,0.0
ITV,0.011111111111111112,0.6525,6,0.0
CON,0.011111111111111112,0.6500000000000001,8,0.0
MO,0.011111111111111112,0.6485714285714286,7,0.0
FL,0.011111111111111112,0.6479999999999999,5,0.0
LKQ,0.011111111111111112,0.6479999999999999,5,0.0
MC,0.011111111111111112,0.6475000000000001,6,0.0
COLOB,0.011111111111111112,0.64625,8,0.0
INTU,0.011111111111111112,0.645,8,0.0
STZ,0.011111111111111112,0.645,6,0.0
IT,0.011111111111111112,0.6435714285714287,14,0.0
ALXN,0.011111111111111112,0.6428571428571429,7,0.0
ENB,0.011111111111111112,0.6424999999999998,8,0.0
SVT,0.011111111111111112,0.64,9,0.0
CELG,0.011111111111111112,0.634,5,0.0
MAR,0.011111111111111112,0.63375,8,0.0
FAST,0.011111111111111112,0.6333333333333333,6,0.0
HRB,0.011111111111111112,0.6333333333333333,6,0.0
MTD,0.011111111111111112,0.6333333333333333,6,0.0
DD,0.011111111111111112,0.63,5,0.0
NESN,0.011111111111111112,0.6273333333333332,15,0.0
005930,0.011111111111111112,0.6270833333333334,12,0.0
QIA,0.011111111111111112,0.627,10,0.0
REE,0.011111111111111112,0.627,10,0.0
SBUX,0.011111111111111112,0.6266666666666666,9,0.0
HNR1,0.011111111111111112,0.6241666666666666,6,0.0
KBC,0.011111111111111112,0.6214285714285713,7,0.0
AGU,0.011111111111111112,0.6188888888888889,9,0.0
WFC,0.011111111111111112,0.6174999999999999,8,0.0
SLB,0.011111111111111112,0.6157142857142857,7,0.0
ANSS,0.011111111111111112,0.6142857142857142,7,0.0
V,0.011111111111111112,0.6142857142857142,7,0.0
VRSN,0.011111111111111112,0.614,5,0.0
ML,0.011111111111111112,0.6111111111111112,9,0.0
ISRG,0.011111111111111112,0.61,13,0.0
CBS,0.011111111111111112,0.6088888888888887,9,0.0
CI,0.011111111111111112,0.60875,8,0.0
NOVN,0.011111111111111112,0.60875,8,0.0
DHL,0.011111111111111112,0.6071428571428571,7,0.0
WAT,0.011111111111111112,0.6066666666666667,12,0.0
OR,0.011111111111111112,0.6057142857142858,7,0.0
MCK,0.011111111111111112,0.6040000000000001,10,0.0
AMT,0.011111111111111112,0.6036363636363636,11,0.0
RTN,0.011111111111111112,0.6033333333333333,6,0.0
RHT,0.011111111111111112,0.6010000000000001,10,0.0
PUB,0.011111111111111112,0.600625,8,0.0
BWA,0.011111111111111112,0.6,6,0.0
GILD,0.011111111111111112,0.6,6,0.0
ITUB4,0.011111111111111112,0.5999999999999999,7,0.0
FRE,0.011111111111111112,0.5968750000000002,16,0.0
NKE,0.011111111111111112,0.5966666666666666,12,0.0
MON,0.011111111111111112,0.5933333333333333,9,0.0
SGE,0.011111111111111112,0.5933333333333333,9,0.0
IFF,0.011111111111111112,0.5925,8,0.0
SNA,0.011111111111111112,0.5925,8,0.0
HOG,0.011111111111111112,0.588888888888889,9,0.0
BFB,0.011111111111111112,0.588,5,0.0
BF_B,0.011111111111111112,0.588,5,0.0
BXB,0.011111111111111112,0.588,10,0.0
